"age","marital","balance","day","month","duration","campaign","pdays","previous","TermDeposit"
36,"married",439,29,"may",179,2,-1,0,"no"
62,"married",180,15,"apr",389,2,-1,0,"yes"
30,"single",29,12,"may",174,1,-1,0,"no"
37,"divorced",277,8,"jul",338,2,-1,0,"no"
34,"married",-28,16,"jul",574,1,-1,0,"no"
57,"divorced",6468,31,"mar",684,4,-1,0,"no"
56,"married",4391,16,"may",291,1,-1,0,"no"
57,"divorced",0,12,"may",144,6,-1,0,"no"
37,"single",1590,9,"apr",121,5,315,3,"no"
28,"single",2528,18,"may",190,8,-1,0,"no"
40,"single",664,19,"nov",188,2,121,2,"no"
31,"single",622,18,"jul",420,1,-1,0,"yes"
33,"single",802,6,"may",47,1,-1,0,"no"
37,"married",240,11,"may",259,1,370,2,"no"
34,"divorced",2036,20,"may",104,1,-1,0,"no"
27,"married",1991,7,"sep",510,1,-1,0,"no"
31,"married",131,13,"may",294,1,370,1,"no"
46,"married",0,18,"nov",1855,1,-1,0,"yes"
56,"married",353,25,"jul",171,2,-1,0,"no"
52,"divorced",1049,4,"jun",80,6,-1,0,"no"
45,"married",3626,19,"jun",2485,2,-1,0,"no"
47,"married",440,12,"jun",91,1,-1,0,"no"
30,"married",1567,12,"aug",1133,4,-1,0,"yes"
59,"married",-22,26,"may",748,3,-1,0,"yes"
57,"married",3123,15,"may",178,1,-1,0,"no"
32,"married",4945,4,"jun",160,1,119,2,"yes"
44,"married",0,20,"aug",141,3,-1,0,"no"
50,"married",-470,19,"nov",130,2,160,1,"no"
33,"single",2859,13,"aug",105,1,-1,0,"no"
48,"married",1223,4,"feb",193,1,-1,0,"no"
36,"married",45,19,"nov",52,3,-1,0,"no"
38,"married",613,30,"apr",242,1,86,1,"yes"
49,"married",3392,13,"aug",272,2,-1,0,"no"
39,"married",722,23,"apr",141,1,-1,0,"no"
49,"married",141,6,"aug",275,1,-1,0,"no"
32,"single",6337,19,"nov",126,2,-1,0,"no"
57,"married",1566,28,"may",105,4,-1,0,"no"
36,"married",425,20,"jun",11,4,-1,0,"no"
31,"married",369,14,"may",89,2,-1,0,"no"
33,"single",47,20,"aug",203,4,-1,0,"no"
44,"single",148,19,"jun",311,2,-1,0,"no"
27,"married",8,6,"may",88,3,-1,0,"no"
27,"single",261,29,"jan",236,2,247,2,"no"
27,"single",2802,18,"may",84,1,-1,0,"no"
39,"single",94,23,"jul",87,3,-1,0,"no"
75,"married",324,12,"nov",124,2,91,4,"no"
44,"married",1319,4,"jun",77,2,-1,0,"no"
33,"married",6227,23,"may",76,2,-1,0,"no"
30,"divorced",46,13,"aug",382,3,-1,0,"no"
36,"single",310,21,"aug",115,2,-1,0,"no"
57,"married",1841,18,"dec",127,2,196,1,"no"
37,"married",1104,18,"jun",15,8,-1,0,"no"
42,"married",5879,14,"may",162,1,-1,0,"no"
34,"married",503,26,"may",120,2,-1,0,"no"
35,"single",458,8,"apr",2129,1,322,3,"no"
33,"divorced",392,26,"may",245,3,-1,0,"no"
41,"married",0,15,"jul",368,4,-1,0,"no"
49,"married",142,12,"jun",90,3,-1,0,"no"
36,"married",591,25,"aug",109,5,-1,0,"no"
35,"single",745,5,"jun",522,3,-1,0,"yes"
27,"single",1408,27,"may",242,2,-1,0,"no"
36,"married",16402,3,"jun",406,3,-1,0,"no"
52,"divorced",0,27,"apr",160,1,-1,0,"no"
45,"married",0,20,"jun",8,5,-1,0,"no"
59,"married",373,28,"jul",362,7,-1,0,"no"
37,"married",1762,16,"apr",334,2,-1,0,"yes"
45,"divorced",2307,14,"aug",126,3,-1,0,"no"
40,"married",832,29,"may",126,1,-1,0,"no"
28,"married",-55,7,"may",361,2,-1,0,"no"
37,"divorced",506,2,"feb",446,2,273,1,"no"
53,"married",210,21,"jul",280,3,-1,0,"no"
28,"single",-803,11,"jun",222,9,-1,0,"no"
36,"married",387,23,"may",232,1,-1,0,"no"
45,"married",3007,11,"jun",442,1,-1,0,"no"
37,"married",-356,9,"may",49,1,-1,0,"no"
41,"married",232,8,"jul",104,3,-1,0,"no"
59,"married",1939,23,"apr",172,1,-1,0,"yes"
26,"single",539,2,"jun",599,2,-1,0,"no"
53,"married",1138,6,"aug",375,2,-1,0,"no"
27,"single",357,29,"may",382,3,-1,0,"no"
45,"married",825,19,"jun",140,1,-1,0,"no"
37,"single",197,16,"may",251,3,-1,0,"no"
33,"married",1323,15,"sep",109,2,106,1,"no"
26,"single",78,28,"jan",43,1,-1,0,"no"
41,"married",3096,24,"jul",273,6,-1,0,"no"
31,"single",1166,3,"jun",207,1,-1,0,"no"
59,"divorced",0,31,"jul",52,8,-1,0,"no"
46,"married",2836,14,"may",13,7,358,7,"no"
45,"married",430,21,"aug",140,2,-1,0,"no"
49,"married",486,7,"jul",229,5,-1,0,"no"
56,"married",314,5,"jun",75,1,-1,0,"no"
51,"divorced",4143,19,"nov",171,1,-1,0,"no"
29,"single",98,10,"aug",170,2,-1,0,"no"
36,"married",64,16,"jul",130,1,-1,0,"no"
57,"divorced",8897,12,"aug",865,2,-1,0,"yes"
38,"married",503,20,"jun",13,4,-1,0,"no"
30,"single",180,14,"jul",203,1,183,2,"no"
54,"single",1213,12,"nov",241,1,-1,0,"yes"
57,"married",2610,3,"feb",258,2,-1,0,"no"
45,"married",310,8,"may",191,2,-1,0,"no"
52,"married",740,16,"jun",206,1,-1,0,"no"
29,"single",101,2,"jul",143,4,-1,0,"no"
32,"married",1118,9,"may",128,2,-1,0,"no"
44,"single",142,9,"jul",668,1,-1,0,"no"
34,"married",813,28,"may",114,3,-1,0,"no"
32,"single",760,16,"apr",445,1,148,2,"no"
49,"married",358,13,"may",176,3,-1,0,"no"
31,"married",43,19,"may",405,3,-1,0,"no"
33,"married",407,28,"jul",189,2,-1,0,"no"
44,"married",1944,14,"may",222,5,-1,0,"no"
49,"married",359,2,"feb",231,2,271,1,"no"
28,"single",3285,9,"may",98,1,-1,0,"no"
41,"married",0,5,"jun",85,2,-1,0,"no"
22,"single",114,30,"mar",517,1,-1,0,"yes"
46,"married",0,22,"aug",65,2,-1,0,"no"
58,"married",471,21,"jul",61,1,-1,0,"no"
33,"married",82,18,"nov",63,2,-1,0,"no"
55,"married",660,5,"jun",348,1,-1,0,"no"
40,"married",16,9,"feb",47,4,-1,0,"no"
41,"married",1391,5,"aug",537,1,-1,0,"no"
39,"married",8637,20,"apr",78,1,313,1,"no"
42,"married",477,2,"feb",413,2,242,3,"no"
27,"married",1600,21,"may",135,1,-1,0,"no"
29,"single",0,28,"may",324,4,-1,0,"no"
55,"married",0,18,"aug",201,11,-1,0,"no"
26,"single",641,15,"may",55,1,368,1,"no"
40,"divorced",1225,11,"jul",919,2,-1,0,"no"
37,"single",1127,17,"apr",72,2,281,1,"no"
59,"married",6573,10,"nov",4918,1,-1,0,"no"
33,"married",181,28,"jul",265,2,-1,0,"no"
47,"divorced",1361,19,"aug",59,3,-1,0,"no"
31,"single",937,9,"feb",51,3,-1,0,"no"
39,"divorced",452,12,"jun",232,2,-1,0,"no"
38,"divorced",2641,17,"jun",67,1,-1,0,"no"
35,"married",533,6,"may",802,1,-1,0,"no"
47,"married",1225,16,"jun",339,2,-1,0,"no"
47,"divorced",17964,3,"jun",165,2,-1,0,"no"
49,"married",213,28,"jan",60,1,-1,0,"no"
36,"single",129,28,"jan",918,1,93,1,"yes"
40,"married",311,20,"may",723,2,-1,0,"no"
30,"married",330,3,"jul",264,1,80,1,"yes"
32,"married",6059,20,"nov",110,2,-1,0,"no"
46,"married",475,23,"jul",158,2,-1,0,"no"
59,"married",0,22,"jul",186,2,-1,0,"no"
45,"married",2724,28,"jun",359,2,182,1,"yes"
45,"divorced",146,8,"jul",216,1,-1,0,"no"
36,"married",506,25,"aug",47,1,120,1,"no"
61,"divorced",1761,7,"dec",334,3,-1,0,"no"
39,"married",597,16,"jul",686,6,-1,0,"yes"
49,"married",357,29,"jul",179,4,-1,0,"no"
27,"single",0,16,"may",89,2,-1,0,"no"
41,"married",767,6,"may",204,1,-1,0,"no"
47,"married",1294,14,"may",164,2,-1,0,"no"
39,"single",2822,21,"nov",573,3,-1,0,"no"
35,"single",7,4,"feb",72,2,247,1,"no"
35,"married",750,18,"aug",233,12,-1,0,"no"
31,"single",410,20,"may",112,2,-1,0,"no"
27,"single",37,13,"may",163,3,-1,0,"no"
29,"single",940,15,"may",757,1,330,1,"no"
44,"married",4119,21,"nov",1074,1,-1,0,"yes"
59,"divorced",195,5,"may",366,2,-1,0,"no"
33,"divorced",1,5,"feb",26,8,267,1,"no"
33,"married",1195,13,"may",355,4,-1,0,"no"
51,"married",6,7,"may",282,1,-1,0,"no"
36,"married",0,29,"jan",86,1,237,17,"no"
47,"single",683,20,"nov",101,1,-1,0,"no"
45,"married",1323,17,"nov",550,1,-1,0,"no"
42,"single",419,7,"jul",88,3,-1,0,"no"
45,"married",1435,11,"aug",201,1,103,1,"no"
58,"married",1065,5,"may",213,3,-1,0,"no"
35,"single",5007,13,"aug",73,1,112,2,"no"
51,"single",-461,28,"may",33,2,-1,0,"no"
44,"married",233,9,"jul",150,3,-1,0,"no"
52,"divorced",0,18,"jul",454,1,-1,0,"no"
33,"married",754,21,"may",811,2,-1,0,"no"
47,"married",1496,16,"may",211,2,-1,0,"no"
29,"married",178,5,"may",231,4,-1,0,"no"
41,"married",67,19,"nov",814,1,-1,0,"yes"
27,"single",0,28,"jul",125,2,-1,0,"no"
60,"married",5267,4,"sep",520,1,-1,0,"yes"
41,"divorced",487,16,"nov",163,1,200,1,"no"
28,"single",1825,9,"mar",236,1,-1,0,"yes"
43,"married",0,19,"aug",103,2,-1,0,"no"
30,"married",1023,21,"may",168,3,-1,0,"no"
79,"married",723,22,"jun",295,3,-1,0,"no"
32,"married",599,19,"nov",79,1,-1,0,"no"
28,"married",318,27,"may",4,4,-1,0,"no"
30,"married",1808,18,"may",83,2,-1,0,"no"
37,"married",64,12,"may",239,4,278,2,"no"
52,"married",3016,3,"feb",142,1,-1,0,"no"
33,"single",406,5,"feb",61,1,275,1,"no"
23,"single",488,30,"mar",236,1,92,2,"yes"
46,"married",-121,8,"jul",214,4,-1,0,"no"
33,"married",0,28,"aug",94,6,-1,0,"no"
47,"married",265,8,"may",144,2,368,1,"no"
42,"married",831,14,"jul",455,3,-1,0,"no"
42,"married",1532,23,"jul",98,3,-1,0,"no"
37,"divorced",117,18,"may",125,3,350,4,"no"
47,"single",585,2,"feb",100,1,-1,0,"no"
51,"divorced",0,28,"aug",84,7,-1,0,"no"
44,"married",292,31,"jul",99,4,-1,0,"no"
46,"divorced",387,3,"apr",298,1,-1,0,"no"
33,"married",271,13,"nov",182,2,91,2,"yes"
28,"single",2015,26,"jul",110,2,182,2,"no"
36,"single",0,29,"aug",85,6,-1,0,"no"
35,"single",-89,15,"may",75,1,368,1,"no"
39,"married",22,2,"jun",493,1,-1,0,"no"
59,"married",0,27,"aug",76,11,-1,0,"no"
41,"married",353,19,"nov",90,2,-1,0,"no"
26,"single",81,10,"jul",604,1,-1,0,"no"
38,"married",69,24,"jul",915,2,-1,0,"no"
37,"married",5064,20,"may",79,1,-1,0,"no"
48,"single",-269,2,"feb",167,1,263,3,"no"
46,"married",1720,5,"aug",250,2,-1,0,"no"
37,"married",321,7,"may",228,2,-1,0,"no"
51,"married",5131,9,"apr",348,1,329,2,"no"
53,"married",974,26,"may",197,2,-1,0,"no"
71,"married",14220,9,"sep",397,1,-1,0,"yes"
26,"single",3044,17,"apr",550,1,325,1,"no"
31,"single",528,17,"jul",143,1,-1,0,"no"
48,"married",717,29,"jul",139,2,-1,0,"no"
42,"married",2037,5,"feb",135,1,8,1,"no"
36,"married",670,25,"jul",126,3,-1,0,"no"
51,"divorced",2843,19,"jun",97,2,-1,0,"no"
39,"married",0,27,"jun",103,1,-1,0,"no"
44,"married",983,28,"jan",123,1,-1,0,"no"
33,"single",27,19,"aug",332,2,-1,0,"no"
34,"married",277,17,"apr",76,2,-1,0,"no"
42,"married",-189,12,"may",247,2,-1,0,"no"
40,"married",351,7,"jul",139,1,-1,0,"no"
41,"single",428,11,"may",106,1,-1,0,"no"
38,"married",1354,29,"jan",50,2,-1,0,"no"
31,"single",1626,31,"jul",15,1,-1,0,"no"
50,"married",156,14,"jul",1130,3,-1,0,"yes"
26,"single",179,28,"jul",333,4,-1,0,"no"
50,"married",0,27,"mar",689,2,-1,0,"no"
49,"married",320,19,"may",243,6,-1,0,"no"
37,"married",190,9,"may",83,2,-1,0,"no"
34,"divorced",797,17,"jul",54,1,-1,0,"no"
32,"married",442,8,"may",207,1,-1,0,"no"
22,"single",739,20,"aug",4,1,-1,0,"no"
34,"single",362,21,"nov",15,2,-1,0,"no"
52,"single",3421,20,"jun",212,8,-1,0,"no"
40,"married",5248,20,"nov",194,4,188,8,"no"
32,"single",131,23,"jul",1152,2,-1,0,"yes"
33,"married",0,29,"jul",454,6,-1,0,"yes"
40,"divorced",49,6,"feb",249,3,-1,0,"no"
45,"single",615,15,"may",133,1,-1,0,"no"
41,"married",2399,15,"may",303,2,351,2,"no"
36,"single",1414,16,"apr",244,1,-1,0,"no"
70,"married",44,18,"sep",1104,2,88,2,"yes"
27,"married",2855,22,"jul",138,2,178,4,"yes"
50,"divorced",1332,16,"may",95,3,-1,0,"no"
59,"divorced",7469,15,"oct",68,1,-1,0,"no"
54,"married",1464,2,"oct",194,2,94,1,"yes"
37,"single",0,28,"may",17,13,-1,0,"no"
29,"single",200,18,"may",261,1,-1,0,"no"
58,"divorced",44,29,"jan",147,1,195,1,"no"
32,"single",4432,18,"nov",115,4,-1,0,"no"
35,"single",6781,15,"may",19,6,-1,0,"no"
38,"married",284,3,"jun",1030,6,-1,0,"no"
36,"married",-308,7,"jul",279,11,-1,0,"no"
37,"married",2987,15,"feb",93,1,91,9,"yes"
36,"single",351,5,"feb",82,1,-1,0,"no"
39,"married",105,9,"may",294,2,-1,0,"no"
42,"divorced",-291,14,"jul",129,2,-1,0,"no"
29,"single",113,12,"feb",328,2,183,4,"yes"
49,"divorced",2677,31,"jul",67,3,-1,0,"no"
34,"single",15,12,"jan",377,1,-1,0,"yes"
46,"single",5993,22,"sep",159,1,112,1,"no"
80,"married",3669,30,"jun",166,1,-1,0,"no"
32,"single",1345,12,"may",289,3,-1,0,"no"
51,"married",0,17,"nov",81,1,-1,0,"no"
46,"single",460,7,"may",1102,2,-1,0,"yes"
44,"married",808,2,"jun",67,2,-1,0,"no"
34,"single",5462,30,"apr",430,1,-1,0,"yes"
46,"married",-371,27,"may",138,1,-1,0,"no"
33,"married",4040,20,"apr",132,2,-1,0,"no"
36,"married",1580,14,"jul",615,3,-1,0,"no"
29,"married",714,13,"may",482,2,-1,0,"yes"
32,"married",1477,18,"nov",111,1,-1,0,"no"
67,"divorced",2027,15,"mar",161,2,-1,0,"yes"
51,"single",368,9,"may",205,1,-1,0,"no"
29,"married",1958,18,"may",112,4,349,1,"no"
43,"single",375,5,"feb",193,2,199,4,"no"
55,"divorced",-53,3,"feb",225,4,6,3,"no"
34,"single",5945,8,"may",285,1,170,1,"no"
51,"married",463,13,"may",213,5,-1,0,"no"
32,"single",1721,21,"may",650,2,-1,0,"no"
44,"married",2557,14,"apr",250,1,181,8,"yes"
32,"divorced",5267,6,"jun",178,2,-1,0,"no"
27,"married",6196,4,"jun",355,1,-1,0,"no"
73,"divorced",3203,20,"apr",148,1,-1,0,"yes"
54,"married",542,6,"feb",48,5,-1,0,"no"
28,"single",4793,27,"may",151,1,-1,0,"no"
51,"married",1550,20,"jun",12,5,-1,0,"no"
30,"single",2,18,"may",56,9,-1,0,"no"
57,"married",-5,10,"jul",42,1,-1,0,"no"
34,"married",294,9,"dec",265,1,184,3,"yes"
35,"married",0,9,"nov",524,1,96,5,"yes"
70,"married",2815,26,"apr",125,2,182,1,"no"
54,"divorced",6410,20,"nov",101,2,-1,0,"no"
41,"divorced",3426,1,"oct",302,1,119,5,"no"
51,"divorced",126,6,"jun",152,1,-1,0,"no"
38,"single",0,11,"may",284,4,-1,0,"no"
32,"single",-307,7,"may",447,2,346,2,"no"
53,"married",6571,3,"feb",208,1,-1,0,"yes"
27,"married",350,9,"may",24,1,-1,0,"no"
34,"married",4963,17,"apr",208,1,332,2,"no"
35,"married",1526,30,"jun",138,4,-1,0,"no"
46,"married",922,18,"nov",296,2,-1,0,"no"
52,"married",1466,20,"nov",150,1,-1,0,"no"
26,"single",294,4,"dec",208,2,-1,0,"yes"
45,"single",5694,9,"may",214,2,-1,0,"no"
53,"married",234,13,"may",53,7,-1,0,"no"
36,"married",1412,25,"jul",226,1,-1,0,"no"
37,"married",2283,6,"aug",303,2,92,4,"yes"
51,"married",-201,9,"jul",153,2,-1,0,"no"
34,"single",654,3,"jun",604,14,-1,0,"no"
26,"married",345,21,"jul",149,4,-1,0,"no"
27,"single",207,26,"may",240,4,-1,0,"no"
41,"married",2127,8,"aug",120,7,-1,0,"no"
56,"married",0,26,"jan",413,2,-1,0,"no"
30,"single",8,19,"aug",28,17,-1,0,"no"
34,"married",161,11,"jul",378,1,-1,0,"no"
60,"married",132,20,"may",21,11,-1,0,"no"
21,"single",948,2,"feb",77,2,-1,0,"no"
39,"married",215,11,"aug",1141,4,-1,0,"yes"
57,"married",75,28,"aug",118,2,-1,0,"no"
52,"married",981,25,"aug",43,4,-1,0,"no"
31,"single",0,27,"aug",448,3,-1,0,"no"
44,"married",1326,30,"jul",96,1,-1,0,"no"
32,"married",0,9,"feb",7,7,-1,0,"no"
46,"married",292,28,"aug",7,13,-1,0,"no"
21,"single",280,11,"aug",280,2,-1,0,"no"
44,"married",-618,27,"jun",198,2,-1,0,"no"
31,"married",1005,4,"feb",429,2,-1,0,"no"
33,"single",2412,14,"may",91,1,356,2,"no"
28,"single",0,5,"may",125,2,-1,0,"no"
46,"married",979,27,"aug",34,15,-1,0,"no"
38,"married",0,17,"nov",960,2,-1,0,"no"
58,"married",4348,23,"jun",790,4,141,1,"yes"
32,"single",470,19,"aug",286,2,-1,0,"no"
41,"married",1491,19,"nov",145,2,-1,0,"no"
46,"divorced",931,20,"nov",90,2,-1,0,"no"
